Wall time,Step,Value
1575451122.936153,30,0.06451612710952759
1575451269.827052,80,0.08024691045284271
1575451298.854859,95,0.0694444477558136
1575451374.491492,125,0.06499999761581421
1575451594.092421,205,0.07000000029802322
1575451623.000214,215,0.06833333522081375
1575451643.999254,225,0.06666667014360428
1575451654.817737,230,0.06333333253860474
1575451678.450794,240,0.06499999761581421
1575451765.279726,270,0.0716666653752327
1575451799.643698,285,0.06666667014360428
1575451933.58586,330,0.06833333522081375
1575452032.58044,360,0.06499999761581421
1575452046.784875,365,0.0716666653752327
1575452063.132559,370,0.07500000298023224
1575452072.849903,375,0.07999999821186066
1575452146.759965,400,0.0833333358168602
1575452268.061448,440,0.08666666597127914
1575452377.523545,475,0.07833333313465118
1575452493.1204,515,0.09833333641290665
1575452532.573182,530,0.12333333492279053
1575452547.102028,535,0.125
1575452650.587693,570,0.13500000536441803
1575452719.70464,595,0.14166666567325592
1575452820.262279,635,0.15666666626930237
1575452875.45981,655,0.2150000035762787
1575452990.575113,700,0.39500001072883606
1575453126.73005,755,0.5083333253860474
1575453191.850772,780,0.5133333206176758
1575453239.148842,795,0.5233333110809326
1575453341.825734,840,0.5166666507720947
1575453357.401261,845,0.5216666460037231
1575453466.016516,895,0.5299999713897705
1575453520.722941,920,0.5450000166893005
1575453542.770361,930,0.5533333420753479
1575453556.415065,935,0.5600000023841858
1575453601.311998,955,0.5566666722297668
1575453682.360313,995,0.5666666626930237
1575453769.048079,1035,0.6333333253860474
1575453780.136469,1040,0.6399999856948853
1575453789.268665,1045,0.6499999761581421
1575453829.701064,1065,0.6516666412353516
1575453943.291914,1120,0.7133333086967468
1575453997.060353,1150,0.7099999785423279
1575454044.23149,1175,0.7166666388511658
1575454073.922867,1190,0.6883333325386047
1575454202.836864,1250,0.6466666460037231
1575454271.10614,1280,0.6416666507720947
1575454322.941625,1305,0.6683333516120911
1575454358.413189,1320,0.6883333325386047
1575454393.221363,1340,0.699999988079071
1575454427.367966,1360,0.7016666531562805
