Wall time,Step,Value
1575497039.843226,30,0.15591397881507874
1575497153.050038,95,0.1614583283662796
1575497201.318968,125,0.1666666716337204
1575497324.599976,205,0.2266666740179062
1575497340.007612,215,0.23333333432674408
1575497361.773375,230,0.2549999952316284
1575497422.135486,270,0.273333340883255
1575497441.785492,285,0.27000001072883606
1575497543.846223,360,0.2933333218097687
1575497561.468753,375,0.2966666519641876
1575497687.625286,475,0.3916666805744171
1575497739.324346,515,0.38499999046325684
1575497765.070836,535,0.38333332538604736
1575497911.6973,635,0.3700000047683716
1575498006.99743,700,0.3766666650772095
1575498094.599651,755,0.3633333444595337
1575498130.153874,780,0.3633333444595337
1575498154.885738,795,0.3733333349227905
1575498222.442551,840,0.3883333206176758
1575498311.631638,895,0.3799999952316284
1575498351.277025,920,0.39666667580604553
1575498365.181662,930,0.40833333134651184
1575498372.716912,935,0.4099999964237213
1575498402.942893,955,0.4233333468437195
1575498459.588225,995,0.3866666555404663
1575498524.123413,1040,0.3566666543483734
1575498563.818914,1065,0.3766666650772095
1575498642.949458,1120,0.40833333134651184
1575498681.066946,1150,0.3916666805744171
1575498715.401288,1175,0.3816666603088379
1575498831.052959,1250,0.4033333361148834
1575498872.980799,1280,0.4000000059604645
1575498911.170718,1305,0.4099999964237213
1575498956.514977,1340,0.4050000011920929
1575498982.262723,1360,0.4183333218097687
1575498995.786328,1370,0.398333340883255
1575499120.545028,1465,0.40666666626930237
1575499154.704901,1490,0.40833333134651184
1575499195.714761,1520,0.40666666626930237
1575499231.111835,1545,0.38999998569488525
1575499245.265233,1555,0.40166667103767395
1575499304.050448,1595,0.39500001072883606
1575499389.17206,1655,0.38999998569488525
1575499449.888983,1700,0.40833333134651184
1575499500.94328,1740,0.4266666769981384
1575499619.316165,1820,0.4166666567325592
1575499647.423124,1840,0.4116666615009308
1575499715.848892,1890,0.4483333230018616
1575500030.257126,2110,0.41999998688697815
1575500037.110682,2115,0.4216666519641876
1575500151.532925,2200,0.4233333468437195
1575500164.029687,2210,0.40833333134651184
1575500172.236361,2215,0.40833333134651184
1575500195.897134,2230,0.41499999165534973
1575500233.644594,2260,0.38333332538604736
1575500293.439316,2305,0.3916666805744171
1575500315.015054,2320,0.39666667580604553
1575500320.814291,2325,0.3883333206176758
1575500390.973528,2375,0.3866666555404663
1575500507.154949,2460,0.4216666519641876
1575500519.014754,2470,0.4266666769981384
1575500651.720677,2565,0.40166667103767395
1575500663.954645,2575,0.41333332657814026
1575500684.107444,2590,0.4050000011920929
1575500740.368168,2630,0.4099999964237213
1575500783.96192,2660,0.3916666805744171
1575500799.937744,2670,0.3883333206176758
1575500818.785893,2685,0.3733333349227905
1575500862.308501,2715,0.38999998569488525
1575500898.842941,2740,0.4166666567325592
1575500969.390268,2790,0.4350000023841858
1575501008.442376,2820,0.40666666626930237
1575501051.834874,2850,0.3933333456516266
1575501083.76834,2870,0.37833333015441895
1575501129.619927,2900,0.39500001072883606
1575501141.783039,2910,0.4050000011920929
1575501161.742873,2925,0.4166666567325592
1575501175.576324,2935,0.41333332657814026
1575501182.756373,2940,0.4266666769981384
1575501222.763777,2970,0.4516666531562805
1575501285.397315,3015,0.4416666626930237
1575501413.545602,3105,0.4183333218097687
1575501426.727149,3115,0.4233333468437195
1575501510.649076,3175,0.4233333468437195
1575501561.596965,3210,0.40833333134651184
1575501567.836204,3215,0.40166667103767395
1575501582.792734,3225,0.4000000059604645
1575501604.883949,3240,0.398333340883255
1575501619.636135,3250,0.4050000011920929
1575501710.604624,3310,0.41333332657814026
1575501735.301366,3325,0.4233333468437195
1575501759.594767,3345,0.41333332657814026
1575501781.236847,3360,0.4000000059604645
1575501800.995024,3375,0.4000000059604645
1575501829.078666,3395,0.4183333218097687
1575501834.881373,3400,0.4166666567325592
1575501864.660586,3420,0.40833333134651184
1575501901.289374,3445,0.4216666519641876
1575502081.260953,3575,0.40166667103767395
1575502106.354119,3595,0.4116666615009308
1575502132.613968,3615,0.3916666805744171
1575502139.915309,3620,0.38499999046325684
1575502185.393984,3655,0.3799999952316284
1575502247.903273,3700,0.3816666603088379
1575502273.980047,3720,0.39666667580604553
1575502301.007254,3740,0.41499999165534973
1575502337.973609,3765,0.4266666769981384
1575502366.728429,3785,0.4116666615009308
1575502429.108238,3830,0.3866666555404663
1575502457.19436,3850,0.37833333015441895
1575502464.62506,3855,0.38333332538604736
1575502471.589462,3860,0.3866666555404663
1575502483.697052,3870,0.3883333206176758
1575502490.140309,3875,0.3883333206176758
1575502533.043766,3905,0.4183333218097687
1575502566.387871,3930,0.4516666531562805
1575502580.028768,3940,0.46166667342185974
1575502617.970114,3965,0.476666659116745
1575502626.38611,3970,0.4699999988079071
1575502634.157756,3975,0.47333332896232605
1575502660.043515,3995,0.46666666865348816
1575502687.274492,4015,0.4866666793823242
1575502723.135089,4040,0.4449999928474426
1575502729.367548,4045,0.43666666746139526
1575502736.416645,4050,0.4333333373069763
1575502895.679461,4165,0.4416666626930237
1575502924.451421,4185,0.43166667222976685
